source,modality,file_path,description
navigo_pointcalls,pkid,profiles/navigo_pointcalls_pkid.csv,Identifiant du pointcall
navigo_pointcalls,record_id,profiles/navigo_pointcalls_record_id.csv,record_id of the line extracted from navigocorpus
navigo_pointcalls,pointcall,profiles/navigo_pointcalls_pointcall.csv,Toponyme du port de départ
navigo_pointcalls,pointcall_uhgs_id,profiles/navigo_pointcalls_pointcall_uhgs_id.csv,Identifiant géogénéral du port de départ
navigo_pointcalls,toponyme_fr,profiles/navigo_pointcalls_toponyme_fr.csv,"Standardised name of the port, in French"
navigo_pointcalls,toponyme_en,profiles/navigo_pointcalls_toponyme_en.csv,"Standardised name of the port, in English"
navigo_pointcalls,latitude,profiles/navigo_pointcalls_latitude.csv,latitude
navigo_pointcalls,longitude,profiles/navigo_pointcalls_longitude.csv,longitude
navigo_pointcalls,pointcall_admiralty,profiles/navigo_pointcalls_pointcall_admiralty.csv,amirauté d'appartenance du port
navigo_pointcalls,pointcall_province,profiles/navigo_pointcalls_pointcall_province.csv,province d'appartenance du port
navigo_pointcalls,pointcall_states,profiles/navigo_pointcalls_pointcall_states.csv,"états d'appartenance structurés ainsi : un dictionnaire de couple de dates, état d'appartenance. Les 2 dates les plus extrêmes sont 1749 et 1815. 
Exemple : [{1749-1768 : République de Gênes}, {1768-1814 : France}]"
navigo_pointcalls,pointcall_substates,profiles/navigo_pointcalls_pointcall_substates.csv,"sous-états d'appartenance structurés ainsi : un dictionnaire de couple de dates, sous-état d'appartenance. Les 2 dates les plus extrêmes sont 1749 et 1815. Exemple :[{""1749-1794"" : ""colonies françaises d'Amérique""},{""1794-1802"" : ""colonies britanniques d'Amérique""},{""1802-1810"" : ""colonies françaises d'Amérique""},{""1810-1815"" : ""colonies britanniques d'Amérique. Ce sont des regroupements non officiels utiles à l'analyse permettant de distinguer les colonies par exemple ou les territoires annexés à des empires qui seront plus tard indépendants. "
navigo_pointcalls,pointcall_states_en,profiles/navigo_pointcalls_pointcall_states_en.csv,
navigo_pointcalls,pointcall_substates_en,profiles/navigo_pointcalls_pointcall_substates_en.csv,
navigo_pointcalls,state_1789_fr,profiles/navigo_pointcalls_state_1789_fr.csv,Etat d'appartenance en 1789 et en 1787 (aucun changement entre ces 2 dates)
navigo_pointcalls,state_1789_en,profiles/navigo_pointcalls_state_1789_en.csv,Etat d'appartenance en 1789 et en 1787 (aucun changement entre ces 2 dates) en anglais
navigo_pointcalls,substate_1789_fr,profiles/navigo_pointcalls_substate_1789_fr.csv,Sous-état (sous division comme une colonie par exemple) d'appartenance en 1789 et en 1787 (aucun changement entre ces 2 dates). Nomenclature utile pour analyser les flux commerciaux.
navigo_pointcalls,substate_1789_en,profiles/navigo_pointcalls_substate_1789_en.csv,Sous-état (sous division comme une colonie par exemple) d'appartenance en 1789 et en 1787 (aucun changement entre ces 2 dates) en anglais. Nomenclature utile pour analyser les flux commerciaux.
navigo_pointcalls,source_1787_available,profiles/navigo_pointcalls_source_1787_available.csv,"Vrai si on dispose des registres de ce port en 1787 (qui était oblique), faux sinon (le port est oblique, mais il n'a pas de registre pour 1787)"
navigo_pointcalls,source_1789_available,profiles/navigo_pointcalls_source_1789_available.csv,"Vrai si on dispose des registres de ce port en 1789 (qui était oblique), faux sinon (le port est oblique, mais il n'a pas de registre pour 1789)"
navigo_pointcalls,pointcall_status,profiles/navigo_pointcalls_pointcall_status.csv,oblique | siège d'amirauté | rien
navigo_pointcalls,shiparea,profiles/navigo_pointcalls_shiparea.csv,Shipping area telle que calculée par J-P. Dedieu (mer ou ocean et région côtière du point)
navigo_pointcalls,pointcall_point,profiles/navigo_pointcalls_pointcall_point.csv,WKT point en EPSG 3857
navigo_pointcalls,ferme_direction,profiles/navigo_pointcalls_ferme_direction.csv,Direction des Fermes à laquelle le port appartient en 1789
navigo_pointcalls,ferme_bureau,profiles/navigo_pointcalls_ferme_bureau.csv,Bureau des Fermes auquel le port appartient en 1789
navigo_pointcalls,ferme_bureau_uncertainty,profiles/navigo_pointcalls_ferme_bureau_uncertainty.csv,"Incertitude concernant le Bureau des Fermes auquel le port appartient en 1789. 0 si certain, -1 sinon. "
navigo_pointcalls,partner_balance_1789,profiles/navigo_pointcalls_partner_balance_1789.csv,"Désignation du pays étranger auquel se rattache ce port, suivant les sources toflit'18 (Balance du commerce en 1789 SANS ANOM - Archives Nationales d'Outrer-Mer)"
navigo_pointcalls,partner_balance_supp_1789,profiles/navigo_pointcalls_partner_balance_supp_1789.csv,"Désignation suivant autre nomenclature (Etranger/France-Sénégal-colonies Françaises) de la destination étrangère auquelle se rattache ce port, suivant les sources toflit'18 (Balance du commerce en 1789. Source  ANOM - Archives Nationales d'Outrer-Mer dans Toflit'18. )"
navigo_pointcalls,partner_balance_1789_uncertainty,profiles/navigo_pointcalls_partner_balance_1789_uncertainty.csv,"Incertitude concernant la désignation du pays étranger auquel se rattache ce port, suivant les sources toflit'18 (Balance du commerce en 1789)"
navigo_pointcalls,partner_balance_supp_1789_uncertainty,profiles/navigo_pointcalls_partner_balance_supp_1789_uncertainty.csv,"Incertitude concernant la désignation du pays étranger suivant seconde nomenclature (supp) auquel se rattache ce port, suivant les sources toflit'18 (Balance du commerce en 1789)"
navigo_pointcalls,pointcall_out_date,profiles/navigo_pointcalls_pointcall_out_date.csv,Date de sortie telle que écrite dans la source
navigo_pointcalls,pointcall_action,profiles/navigo_pointcalls_pointcall_action.csv,In | In-Out | Out | Transit | Loading | Captured | …
navigo_pointcalls,outdate_fixed,profiles/navigo_pointcalls_outdate_fixed.csv,Date transformée si renseignée de l'observation au départ : yyyy-MM-DD
navigo_pointcalls,pointcall_in_date,profiles/navigo_pointcalls_pointcall_in_date.csv,Date d'arrivée telle que écrite dans la source
