value,count
A vide,104
Avoine,8
Baillarge,4
Beurre,14
Bierre,2
Biscuits,2
Bled,14
Bois,278
Bois de construction,10
Bois merrain,2
Bois à bruler,4
Bouteilles,4
Briques,2
Buche,2
Buches,10
Buches à bruler,2
Caffé avarrié,2
Cendres de Varec,14
Chanvre,12
Charbon,4
Charbon de bois,14
Charbon de terre,2
Coton,2
Eau de vie,2
Eau-de-vie,54
Eboeur [Beurre],2
Farine,60
Feuillard,60
Fromage,2
Froment,172
Fruits,2
Fumier,2
Futailles,2
Fèves,48
Garobe,4
Goldron [Goudron],3
Grain,4
Graines de lin,4
Grains,306
Lentilles,10
Lest,306
Lin,2
Marchandises,3
Marchandises de foire,2
Merein,6
Merrain,2
Minot,10
Morue seiche,2
Moulles,2
Mérin [Merrain],6
Oignons,2
Orge,4
Paiche des moules [pêche des moules],2
Pierre,2
Pierres,2
Pierres de taille,2
Poisson,2
Poudre de guerre,2
Poudre à canon,2
Pêche,2
Pêche au poisson frais,32
Pêche aux moules,1
Pêche de la Sardine,51
Pêche de la morue,6
Pêche des moules,3
Pêche du poisson frais,45
Pêche du poisson frais le long des côtes,2
Pêche à la morue,8
Resine,2
Reste de marchandise,16
Sel,180
Son,2
Terre,4
Terre de Broue,15
Vieux canons,2
Vin,2
Vinaigre,2
Vuide,2
a vide,4
ail,12
audevie [eau de vie],6
autres marchandises permises,4
avec son reste [reste de marchandises],3
avoine,2
beurre,17
biscuits,11
bled,14
bled meture,3
bleds,8
bleds froment,28
bleds seigle,6
boeure [beurre],2
boeurs [beurre],2
bois,49
bois  chauffages,2
bois de charpente,8
bois de chauffage,4
bois de construction,72
bois de merrain,2
bois merrain,38
bois à bruler,4
bois à brûler,64
bouteilles,14
buche,12
buches,156
café,2
canon,2
carreaux,2
cendres,32
cendres lessiviere,10
cercles,2
chanvre,2
charbon,46
charbon de bois,11
charbon de terre,4
chaux,195
copeaux,2
cuivre,2
diverses marchandises,3
eau de vie,190
eau-de-vie,2
eaux de vie,2
en lest,16
fagot,2
fagots,74
fagots de fourage,2
faince [faïence],4
faire la pêche [au poisson frais],4
farine,14
farines,4
faïence,2
feave [fèves],6
feaves [fèves],6
fer,4
feuillard,16
feves,2
fourage,2
fourages,6
froment,3
futaille vuide,2
futailles,47
futailles vides,4
futailles vuide,8
futailles vuides,8
futs vides,12
fèves,50
graiment de navire,6
grains de lin,2
gréments,2
huile,4
huile de poisson,2
huitres,4
leenes [laines],2
les [lest],2
lest,1053
lest en fer,3
mairain,2
mairain [merrain],2
marchandise,10
marchandises,18
marchandises de Marseille,3
marchandises de foire,2
marchandises naufragé,2
marchandises permises,23
marchandises permises pour la traitte des noirs,2
marchandises pour la traitte des noirs,2
marchandises provenant de nauffrage,2
merains,3
merrein,2
meubles,11
meules de moulin,2
morue sèche,2
morue verte,32
mouele [moules?],2
moules,4
moutarde,4
méture,2
oignon,28
oignons,4
orge,8
passagers,2
peaux de bœuf,3
petit reste de marchandise,2
pierre,4
pierre de taille,6
pierres,2
pirre [pierre],2
planche,134
planches,56
platre,2
pois,2
poisson sec,2
pommes,3
poteries,2
potteries,2
pour faire la pêche,3
prendre de la sardine [pêche à la sardine],6
pèche du poisson [frais],7
pêche au poisson frais,1
pêche de la morue,3
pêche de la morue verte,6
pêche des moules et du poisson frais,2
pêche du poisson frais,13
pêche su poisson frais,3
restant de Boeure,4
restant de marchandises en boeure,2
reste de beurre,5
reste de blés,2
reste de futailles,4
reste de grains,2
reste de marchandise,2
reste de marchandises des isles,2
reste de sardines pressé de Bretagne,2
résine,2
salaisons,2
sandre [cendres],10
sardines,9
sardines salées,10
savon,3
sel,3960
sendre [cendres],2
serdine [sardines],2
serdines [sardines],6
son,6
son lest,9
son restant de baillarge,2
son restant de boeure,2
son reste [de cargaison],3
son reste [de marchandises],6
son reste de Marchandises,2
son reste de beurre,3
son reste de futailles,3
soudes,38
sucre,4
suif,2
ustensiles pour la pêche de la morue verte,2
ustensiles pour la pêche à la morue verte,6
vache,3
vaches,3
vide,3629
vieux cordage,2
vin,431
vinaigre,46
vinaterie,2
vinatrie,14
vingt [vin],2
vivres,46
vuide,520
à l' aventure,6
à vide,141
échalote,2
échalotte,2
